locationuid,locationtype,parentlocationuid,community_name,tract_geoid,roadsegid,speed,oneway,abloaddr,abhiaddr,rd30full,geometry
ac547621,WALKWAY,ac547621,La Jolla,14000US00000007078,38937,20,B,8100,8199,JENNER ST,"LINESTRING (-117.2773373837739 32.84732125854877, -117.27733595572 32.84729474059138)"
ac5678a8,TRAFFIC_LANE,ac5678a8,La Jolla,14000US00000007078,38937,20,B,8100,8199,JENNER ST,"LINESTRING (-117.2774581006001 32.84735305957791, -117.2774853839551 32.84744302377098)"
ac5c4dsnit8jkskeos9,PARKING_ZONE,ac5c4dsnit8jkskeos9,Downtown,14000US00000006940,2026,20,B,400,499,08TH AVE,"POLYGON ((-117.1573207436088 32.71022327169534, -117.1573194025545 32.70994342195319, -117.157351430953 32.70994331328673, -117.1573527721077 32.71022316302889, -117.1573207436088 32.71022327169534))"
acc53229,WALKWAY,acc53229,Mira Mesa,14000US00000002072,114079,40,B,8800,8899,CAMINO SANTA FE,"LINESTRING (-117.1670865573482 32.8853717247817, -117.1670867180421 32.88530650436764)"
acc734b0,TRAFFIC_LANE,acc734b0,Mira Mesa,14000US00000002072,114079,40,B,8800,8899,CAMINO SANTA FE,"LINESTRING (-117.167159191015 32.88523548173104, -117.1670475935283 32.88525338268052)"
acd349aa,WALKWAY,acd349aa,"Encanto Neighborhoods,Southeastern",14000US00000007182,24612,35,B,5530,5599,DIVISION ST,"LINESTRING (-117.0757974841641 32.69230850808046, -117.0757687506326 32.69229164198158)"
acd54c31,TRAFFIC_LANE,acd54c31,"Encanto Neighborhoods,Southeastern",14000US00000007184,24612,35,B,5530,5599,DIVISION ST,"LINESTRING (-117.0757893573063 32.69224861030338, -117.075773793105 32.69217272065484)"
acduvxb7gsji3kxmzt,PARKING_ZONE,acduvxb7gsji3kxmzt,Pacific Beach,14000US00000007340,28773,20,B,4300,4324,FANUEL ST,"POLYGON ((-117.2455567645926 32.79605347009627, -117.2457096505856 32.79651004067318, -117.24567879004 32.79651734266571, -117.2455259042054 32.79606077208881, -117.2455567645926 32.79605347009627))"
ace1612b,WALKWAY,ace1612b,"Encanto Neighborhoods,Southeastern",14000US00000002788,5395,35,B,1280,1329,S 47TH ST,"LINESTRING (-117.0936431934979 32.69366212674367, -117.0936809957183 32.69365809857494)"
ace363b2,TRAFFIC_LANE,ace363b2,"Encanto Neighborhoods,Southeastern",14000US00000002788,5395,35,B,1280,1329,S 47TH ST,"LINESTRING (-117.093676621867 32.69377385379777, -117.0938006984761 32.69380384084744)"
acef78ac,WALKWAY,acef78ac,Pacific Beach,14000US00000007340,23683,20,B,4321,4399,DAWES ST,"LINESTRING (-117.2492922680853 32.79574013407039, -117.2492786592198 32.79576664758747)"
acf17b33,TRAFFIC_LANE,acf17b33,Pacific Beach,14000US00000007340,23683,20,B,4321,4399,DAWES ST,"LINESTRING (-117.2492124956893 32.79581000755984, -117.2492399221978 32.79591026408347)"
acfd902d,WALKWAY,acfd902d,Carmel Valley,14000US00000007099,138018,35,B,13000,13099,CARMEL CANYON RD,"LINESTRING (-117.2137782227158 32.95563073071627, -117.2137787978297 32.95548756687923)"
acff92b4,TRAFFIC_LANE,acff92b4,Carmel Valley,14000US00000007099,138018,35,B,13000,13099,CARMEL CANYON RD,"LINESTRING (-117.2138230139459 32.95545769758383, -117.2137246036767 32.95543696783489)"
ad19bf2f,WALKWAY,ad19bf2f,Downtown,14000US00000006974,54946,20,F,1600,1699,STATE ST,"LINESTRING (-117.1665893315759 32.72240903513216, -117.1666255281414 32.72241130615978)"
